name_coin,symbol_coin,id,uuid,number_of_markets,volume,market_cap,total_supply,price,percent_change_24hr,timestamp
Bitcoin,BTC,0,Qwsogvtv82FCd,0,18324485796,543257964948,0,28265.739790215637,-2.82,1682084943
Ethereum,ETH,0,razxDUgYGNAdQ,0,10943227992,234286832879,0,1919.9756672894111,-3.58,1682084943
Tether USD,USDT,0,HIVsRcGKkPFtW,0,76536322996,65343104588,0,0.999700495521666,-1.51,1682084943
BNB,BNB,0,WcwrkfNI4FUAe,0,882001763,46956143939,0,328.788955491209,-0.51,1682084943
USDC,USDC,0,aKzUVe4Hh_CON,0,3289044745,43787371033,0,1.0002146151739064,-1.22,1682084943
XRP,XRP,0,-l8Mn2pVlRs-p,0,1824047408,23631144926,0,0.4698158842398168,-5.44,1682084943
Cardano,ADA,0,qzawljRxB5bYu,0,465850817,14156972554,0,0.4039653057334472,-3.57,1682084943
OKB,OKB,0,PDKcptVnzJTmN,0,46313729,12810326694,0,53.05471753711889,-2.96,1682084943
Dogecoin,DOGE,0,a91GCGd_u96cF,0,1150262155,11551700035,0,0.08441895851671632,-5.18,1682084943
Polygon,MATIC,0,uW2tk-ILY0ii,0,390954652,9654275354,0,1.0482480572698354,-4.23,1682084943
Solana,SOL,0,zNZHO_Sjf,0,581565396,8072601873,0,22.228935143121994,-4.19,1682084943
Wrapped Ether,WETH,0,Mtfb0obXVh59u,0,247806220,7680649715,0,1941.3871480173777,-2.80,1682084943
Chainlink,LINK,0,VLqpJwogdhHNb,0,412984853,7461225758,0,7.461901246545673,-6.73,1682084943
Polkadot,DOT,0,25W7FG7om,0,324694888,7413462562,0,6.086442958679089,-5.32,1682084943
Binance USD,BUSD,0,vSo2fu9iE1s0Y,0,3103391993,6586156830,0,1.00050963004432,-1.44,1682084943
Litecoin,LTC,0,D7B1x_ks7WhV5,0,685835982,6372677409,0,89.92661667585968,-2.55,1682084943
Shiba Inu,SHIB,0,xz24e0BjL,0,226824744,6270974869,0,0.000010636991218716,-3.75,1682084943
TRON,TRX,0,qUhEFk1I61atv,0,294347530,6076802004,0,0.06594578724117882,-2.47,1682084943
Avalanche,AVAX,0,dvUj0CzDZ,0,336672708,5436688839,0,18.078843434801566,-7.66,1682084943
Dai,DAI,0,MoTuySvg7,0,76424845,4954944566,0,0.999401289395121,-1.23,1682084943
Uniswap,UNI,0,_H5FVG9iW,0,113715599,4612203977,0,5.741449577027117,-3.82,1682084943
Wrapped BTC,WBTC,0,x4WXHge-vvFY,0,31443061,4516411408,0,28264.319239476452,-2.93,1682084943
Cosmos,ATOM,0,Knsels4_Ol-Ny,0,145939640,3706836120,0,11.263640337068436,-5.93,1682084943
Toncoin,TON,0,67YlI0K1b,0,26164890,3354715241,0,2.2765572713816735,-0.61,1682084943
Wrapped liquid staked Ether 2.0,WSTETH,0,CiixT63n3,0,18157651,3021847827,0,2138.606967702144,-4.22,1682084943
Monero,XMR,0,3mVx2FX_iJFp5,0,158662081,2793161328,0,153.4130468375153,-2.46,1682084943
Ethereum Classic,ETC,0,hnfQfsYfeIGUQ,0,320069694,2769956154,0,20.04503455045042,-3.73,1682084943
Internet Computer (DFINITY),ICP,0,aMNLwaUbY,0,79082339,2500616454,0,5.762429818717295,-8.16,1682084943
Lido DAO Token,LDO,0,Pe93bIOD2,0,83639154,2487687728,0,2.1264964905513764,-5.74,1682084943
Bitcoin Cash,BCH,0,ZlZpzOJo43mIo,0,205368686,2366330591,0,123.68831365461715,-2.81,1682084943
Immutable X,IMX,0,Z96jIvLU7,0,54293362,1955224674,0,0.9776123389338565,-6.56,1682084943
Stellar,XLM,0,f3iaFeCKEmkaZ,0,60841434,1949067411,0,0.09646210873538245,-2.04,1682084943
ARBITRUM,ARB,0,1Uo6s62Oc,0,999853083,1859401314,0,1.45835397138395,-4.22,1682084943
Filecoin,FIL,0,ymQub4fuB,0,320245839,1818375525,0,5.554460309413044,-4.54,1682084943
Huobi Token,HT,0,DXwP4wF9ksbBO,0,7720256,1818138515,0,3.6362770465890186,-2.83,1682084943
Frax Share,FXS,0,3nNpuxHJ8,0,45649659,1543761332,0,8.826704168216919,-2.33,1682084943
VeChain,VET,0,FEbS54wxo4oIl,0,67787866,1537151343,0,0.023024779434297,-4.80,1682084943
Trust Wallet Token,TWT,0,Hm3OlynlC,0,28058102,1533716647,0,1.2633599677161416,-4.40,1682084943
Hedera,HBAR,0,jad286TjB,0,53902598,1527311067,0,0.06173891451090689,-3.38,1682084943
The Sandbox,SAND,0,pxtKbG5rg,0,64918143,1445390174,0,0.615852239870361,-4.83,1682084943
Aptos,APT,0,HGYj5JCv5,0,190277847,1439049589,0,11.069612222177685,-3.46,1682084943
Frax,FRAX,0,KfWtaeV1W,0,3413844,1404284587,0,0.9995318141605226,-1.23,1682084943
Algorand,ALGO,0,TpHE2IShQw-sJ,0,125343191,1379313269,0,0.1907710530573886,-3.78,1682084943
WEMIX TOKEN,WEMIX,0,08CsQa-Ov,0,10725960,1303540708,0,1.3035407080464279,-3.54,1682084943
EnergySwap,ENS,0,SbWqqTui-,0,5312082,1284773857,0,12.847738572119432,-3.85,1682084943
Decentraland,MANA,0,tEf7-dnwV3BXS,0,117118448,1283040822,0,0.5850140960754074,-5.70,1682084943
NEAR Protocol,NEAR,0,DCrsaMv68,0,119838915,1234823820,0,2.031480356134731,-6.93,1682084943
PancakeSwap,CAKE,0,ncYFcP709,0,53586040,1193598289,0,3.433129408807497,-1.77,1682084943
Cronos,CRO,0,65PHZTpmE55b,0,24848967,1128515258,0,0.06903215538103002,-0.99,1682084943
Quant,QNT,0,bauj_21eYVwso,0,51355083,1078540883,0,110.3114298021903,-2.40,1682084943
Bitcoin,BTC,0,Qwsogvtv82FCd,0,18324485796,543257964948,0,28265.739790215637,-2.82,1682084948
Ethereum,ETH,0,razxDUgYGNAdQ,0,10943227992,234286832879,0,1919.9756672894111,-3.58,1682084948
Tether USD,USDT,0,HIVsRcGKkPFtW,0,76536322996,65343104588,0,0.999700495521666,-1.51,1682084948
BNB,BNB,0,WcwrkfNI4FUAe,0,882001763,46956143939,0,328.788955491209,-0.51,1682084948
USDC,USDC,0,aKzUVe4Hh_CON,0,3289044745,43787371033,0,1.0002146151739064,-1.22,1682084948
XRP,XRP,0,-l8Mn2pVlRs-p,0,1824047408,23631144926,0,0.4698158842398168,-5.44,1682084948
Cardano,ADA,0,qzawljRxB5bYu,0,465850817,14156972554,0,0.4039653057334472,-3.57,1682084948
OKB,OKB,0,PDKcptVnzJTmN,0,46313729,12810326694,0,53.05471753711889,-2.96,1682084948
Dogecoin,DOGE,0,a91GCGd_u96cF,0,1150262155,11551700035,0,0.08441895851671632,-5.18,1682084948
Polygon,MATIC,0,uW2tk-ILY0ii,0,390954652,9654275354,0,1.0482480572698354,-4.23,1682084948
Solana,SOL,0,zNZHO_Sjf,0,581565396,8072601873,0,22.228935143121994,-4.19,1682084948
Wrapped Ether,WETH,0,Mtfb0obXVh59u,0,247806220,7680649715,0,1941.3871480173777,-2.80,1682084948
Chainlink,LINK,0,VLqpJwogdhHNb,0,412984853,7461225758,0,7.461901246545673,-6.73,1682084948
Polkadot,DOT,0,25W7FG7om,0,324694888,7413462562,0,6.086442958679089,-5.32,1682084948
Binance USD,BUSD,0,vSo2fu9iE1s0Y,0,3103391993,6586156830,0,1.00050963004432,-1.44,1682084948
Litecoin,LTC,0,D7B1x_ks7WhV5,0,685835982,6372677409,0,89.92661667585968,-2.55,1682084948
Shiba Inu,SHIB,0,xz24e0BjL,0,226824744,6270974869,0,0.000010636991218716,-3.75,1682084948
TRON,TRX,0,qUhEFk1I61atv,0,294347530,6076802004,0,0.06594578724117882,-2.47,1682084948
Avalanche,AVAX,0,dvUj0CzDZ,0,336672708,5436688839,0,18.078843434801566,-7.66,1682084948
Dai,DAI,0,MoTuySvg7,0,76424845,4954944566,0,0.999401289395121,-1.23,1682084948
Uniswap,UNI,0,_H5FVG9iW,0,113715599,4612203977,0,5.741449577027117,-3.82,1682084948
